Food Description,Calories (kcal),Total Fat (g),Cholesterol (mg),Carbohydrate (g),Sugar (g),Protein (g),cluster
"CORN,SWT,YEL,FRZ,KRNLS,CUT OFF COB,BLD,DRND,W/SALT",79.0,0.67,0.0,18.71,3.07,2.55,1
"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",94.0,0.74,0.0,22.33,3.59,3.11,1
"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/ SALT",94.0,0.38,0.0,19.73,3.23,3.17,1
"COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/ SALT",131.0,0.66,0.0,23.5,4.46,8.49,1
"COWPEAS,YOUNG PODS W/SEEDS,CKD,BLD,DRND,W/SALT",34.0,0.3,0.0,7.0,8.256540404040422,2.6,1
"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,W/SALT",22.0,0.1,0.0,2.8,8.256540404040422,4.67,1
"CRESS,GARDEN,CKD,BLD,DRND,W/SALT",23.0,0.6,0.0,3.8,3.11,1.9,1
"DANDELION GRNS,CKD,BLD,DRND,W/SALT",33.0,0.6,0.0,6.4,1.62,2.0,1
"EGGPLANT,CKD,BLD,DRND,W/SALT",33.0,0.23,0.0,8.14,3.2,0.83,1
"GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,W/SALT",13.0,0.02,0.0,3.1,8.256540404040422,0.6,1
"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,W/SALT",54.0,0.34,0.0,13.75,5.17,0.66,1
"DRUMSTICK LEAVES,CKD,BLD,DRND,W/ SALT",60.0,0.93,0.0,11.15,1.0,5.27,1
"DRUMSTICK PODS,CKD,BLD,DRND,W/ SALT",36.0,0.19,0.0,8.18,8.256540404040422,2.09,1
"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",50.0,0.27,0.0,9.2,8.256540404040422,2.95,1
"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",37.0,0.2,0.0,7.29,1.0,3.68,1
"KALE,CKD,BLD,DRND,W/SALT",28.0,0.4,0.0,5.63,1.25,1.9,1
"KALE,FRZ,CKD,BLD,DRND,W/SALT",30.0,0.49,0.0,5.23,1.34,2.84,1
"KALE,SCOTCH,CKD,BLD,DRND,W/SALT",28.0,0.41,0.0,5.62,8.256540404040422,1.9,1
"KOHLRABI,CKD,BLD,DRND,W/SALT",29.0,0.11,0.0,6.69,2.8,1.8,1
"LAMBS QUARTERS,CKD,BLD,DRND,W/SALT",32.0,0.7,0.0,5.0,0.62,3.2,1
"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,W/SALT",31.0,0.2,0.0,7.62,2.11,0.81,1
"LOTUS ROOT,CKD,BLD,DRND,W/SALT",66.0,0.07,0.0,16.02,8.256540404040422,1.58,1
"MUSHROOMS,WHITE,CKD,BLD,DRND,W/ SALT",28.0,0.47,0.0,5.29,2.34,2.17,1
"MUSHROOMS,SHIITAKE,CKD,W/SALT",56.0,0.22,0.0,14.39,3.84,1.56,1
"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",15.0,0.24,0.0,2.1,0.1,2.26,1
"MUSTARD GRNS,FRZ,CKD,BLD,DRND,W/SALT",19.0,0.25,0.0,3.11,0.32,2.27,1
"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,W/SALT",16.0,0.2,0.0,2.8,8.256540404040422,1.7,1
"NEW ZEALAND SPINACH,CKD,BLD,DRND,W/SALT",12.0,0.17,0.0,2.13,0.25,1.3,1
"OKRA,CKD,BLD,DRND,W/SALT",22.0,0.21,0.0,4.51,2.4,1.87,1
"OKRA,FRZ,CKD,BLD,DRND,W/ SALT",34.0,0.24,0.0,6.41,2.87,1.63,1
"ONIONS,CKD,BLD,DRND,W/SALT",42.0,0.19,0.0,9.56,4.73,1.36,1
"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",26.0,0.1,0.0,6.0,2.9,0.77,1
"ONIONS,FRZ,WHL,CKD,BLD,DRND,W/SALT",26.0,0.05,0.0,6.11,2.9,0.71,1
"PARSNIPS,CKD,BLD,DRND,W/SALT",71.0,0.3,0.0,17.01,4.8,1.32,1
"PEAS,EDIBLE-PODDED,CKD,BLD,DRND,W/SALT",40.0,0.23,0.0,6.46,3.99,3.27,1
"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,W/SALT",50.0,0.38,0.0,8.43,4.82,3.5,1
"PEAS,GRN,CKD,BLD,DRND,W/SALT",84.0,0.22,0.0,15.63,5.93,5.36,1
"PEAS,GRN,CND,NO SALT,SOL&LIQUIDS",53.0,0.3,0.0,9.75,3.2,3.19,1
"PEAS,GRN,CND,NO SALT,DRND SOL",69.0,0.35,0.0,12.58,4.16,4.42,1
"PEAS,GRN,FRZ,CKD,BLD,DRND,W/SALT",78.0,0.27,0.0,14.26,4.65,5.15,1
"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",98.0,0.51,0.0,17.08,8.256540404040422,7.05,1
"PEAS&CARROTS,CND,NO SALT,SOL&LIQUIDS",38.0,0.27,0.0,8.48,2.83,2.17,1
"PEAS&CARROTS,FRZ,CKD,BLD,DRND,W/SALT",48.0,0.42,0.0,10.12,4.36,3.09,1
"PEAS&ONIONS,FRZ,CKD,BLD,DRND,W/SALT",45.0,0.2,0.0,8.63,3.77,2.54,1
"PEPPERS,HOT CHILI,RED,RAW",40.0,0.44,0.0,8.81,5.3,1.87,1
"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS",21.0,0.1,0.0,5.1,3.32,0.9,1
"PEPPERS,SWT,RED,RAW",31.0,0.3,0.0,6.03,4.2,0.99,1
"PEPPERS,SWT,GRN,CKD,BLD,DRND,W/SALT",26.0,0.2,0.0,6.11,3.19,0.92,1
"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",28.0,0.2,0.0,6.7,4.39,0.92,1
"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT",26.0,0.2,0.0,6.11,4.39,0.92,1
"PEPPERS,SWT,GRN,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",16.0,0.18,0.0,3.31,8.256540404040422,0.95,1
"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",111.0,1.36,0.0,19.49,2.48,5.96,1
"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,W/SALT",20.0,0.4,0.0,3.1,1.6,2.3,1
"POTATOES,BKD,FLESH & SKN,W/ SALT",93.0,0.13,0.0,21.15,1.18,2.5,1
"POTATOES,BKD,FLESH,W/SALT",93.0,0.1,0.0,21.55,1.7,1.96,1
"POTATOES,BKD,SKN,W/ SALT",198.0,0.1,0.0,46.06,1.4,4.29,1
"POTATOES,BLD,CKD IN SKN,FLESH,W/SALT",87.0,0.1,0.0,20.13,0.87,1.87,1
"POTATOES,BLD,CKD IN SKN,SKN,W/SALT",78.0,0.1,0.0,17.2,8.256540404040422,2.86,1
"POTATOES,BLD,CKD WO/ SKN,FLESH,W/ SALT",86.0,0.1,0.0,20.01,0.85,1.71,1
"POTATOES,MICROWAVED,CKD,IN SKN,FLESH&SKN,W/SALT",105.0,0.1,0.0,24.24,8.256540404040422,2.44,1
"POTATOES,MICROWAVED,CKD IN SKN,FLESH,W/SALT",100.0,0.1,0.0,23.28,8.256540404040422,2.1,1
"POTATOES,MICROWAVED,CKD,IN SKN,SKN W/SALT",132.0,0.1,0.0,29.63,8.256540404040422,4.39,1
"POTATOES,FRZ,WHL,CKD,BLD,DRND,W/SALT",63.0,0.13,0.0,13.93,8.256540404040422,1.98,1
"POTATOES,FRZ,FRCH FR,PAR FR,CTTGE-CUT,PREP,HTD OVEN,W/SALT",218.0,8.2,0.0,34.03,8.256540404040422,3.44,1
"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,OVN-HTD",172.0,5.22,0.0,28.71,0.28,2.66,1
"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,AS PURCH",150.0,4.66,0.0,24.81,0.2,2.24,1
"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING MARGARINE",132.0,7.59,15.0,11.27,8.256540404040422,5.06,1
"POTATOES,SCALLPD,HOME-PREPARED W/MARGARINE",88.0,3.68,6.0,10.78,8.256540404040422,2.87,1
"PUMPKIN,CKD,BLD,DRND,W/SALT",20.0,0.07,0.0,4.9,1.02,0.72,1
"PUMPKIN,CANNED,WITH SALT",34.0,0.28,0.0,8.09,3.3,1.1,1
"PUMPKIN,FLOWERS,CKD,BLD,DRND,W/SALT",15.0,0.08,0.0,3.18,2.4,1.09,1
"PUMPKIN LEAVES,CKD,BLD,DRND,W/ SALT",21.0,0.22,0.0,3.39,0.69,2.72,1
"PURSLANE,CKD,BLD,DRND,W/SALT",18.0,0.19,0.0,3.55,8.256540404040422,1.49,1
"RADISHES,ORIENTAL,CKD,BLD,DRND,W/SALT",17.0,0.24,0.0,3.43,1.83,0.67,1
"RUTABAGAS,CKD,BLD,DRND,W/SALT",39.0,0.22,0.0,8.74,6.02,1.29,1
"SALSIFY,CKD,BLD,DRND,W/SALT",68.0,0.17,0.0,15.36,2.9,2.73,1
"SOYBEANS,GRN,CKD,BLD,DRND,W/SALT",141.0,6.4,0.0,11.05,8.256540404040422,12.35,1
"SPINACH,CKD,BLD,DRND,W/SALT",23.0,0.26,0.0,3.75,0.43,2.97,1
"SPINACH,CND,NO SALT,SOL&LIQUIDS",19.0,0.37,0.0,2.92,8.256540404040422,2.11,1
"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,W/SALT",34.0,0.87,0.0,4.8,0.51,4.01,1
"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,W/SALT",20.0,0.31,0.0,4.31,2.59,0.91,1
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,W/SALT",19.0,0.39,0.0,3.79,2.48,1.04,1
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,W/SALT",25.0,0.2,0.0,5.54,2.33,1.28,1
"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",16.0,0.17,0.0,3.3,1.5,1.03,1
"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,W/SALT",15.0,0.36,0.0,2.69,1.71,1.14,1
"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,W/SALT",14.0,0.13,0.0,2.97,1.69,1.15,1
"SQUASH,WNTR,ALL VAR,CKD,BKD,W/SALT",37.0,0.35,0.0,8.85,3.3,0.89,1
"SQUASH,WNTR,ACORN,CKD,BKD,W/SALT",56.0,0.14,0.0,14.58,8.256540404040422,1.12,1
"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,W/SALT",34.0,0.08,0.0,8.79,8.256540404040422,0.67,1
"SQUASH,WNTR,BUTTERNUT,CKD,BKD,W/SALT",40.0,0.09,0.0,10.49,1.97,0.9,1
"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,W/SALT",39.0,0.07,0.0,10.04,8.256540404040422,1.23,1
"SQUASH,WNTR,HUBBARD,BKD,W/ SALT",50.0,0.62,0.0,10.81,4.9,2.48,1
"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,W/SALT",30.0,0.37,0.0,6.46,2.93,1.48,1
"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,W/SALT",27.0,0.26,0.0,6.46,2.53,0.66,1
"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,W/SALT",111.0,0.8,0.0,24.37,8.256540404040422,5.07,1
"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,W/SALT",93.0,0.89,0.0,19.95,2.21,4.31,1
"SWAMP CABBAGE,CKD,BLD,DRND,W/SALT",20.0,0.24,0.0,3.71,8.256540404040422,2.08,1
"SWEET POTATO LEAVES,CKD,STMD,W/ SALT",34.0,0.3,0.0,7.32,5.42,2.32,1
"SWEET POTATO,CKD,BKD IN SKN,W/ SALT",92.0,0.15,0.0,20.71,11.09,2.01,1
"SWEET POTATO,CKD,BLD,WO/ SKN,W/ SALT",76.0,0.14,0.0,17.72,5.74,1.37,1
"SWEET POTATO,FRZ,CKD,BKD,W/ SALT",100.0,0.12,0.0,23.4,8.256540404040422,1.71,1
"TARO,COOKED,WITH SALT",142.0,0.11,0.0,34.6,0.49,0.52,1
"TARO,LEAVES,CKD,STMD,W/SALT",24.0,0.41,0.0,3.89,8.256540404040422,2.72,1
"TARO,SHOOTS,CKD,W/SALT",14.0,0.08,0.0,3.19,8.256540404040422,0.73,1
"TARO,TAHITIAN,CKD,W/SALT",44.0,0.68,0.0,6.85,8.256540404040422,4.16,1
"TOMATOES,RED,RIPE,CKD,W/ SALT",18.0,0.11,0.0,4.01,2.49,0.95,1
"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC,NO SALT ADDED",17.0,0.13,0.0,4.0,2.38,0.78,1
"TOMATO JUC,CND,WO/SALT",17.0,0.05,0.0,4.24,3.56,0.76,1
"TOMATO PRODUCTS,CND,PASTE,W/SALT",82.0,0.47,0.0,18.91,12.18,4.32,1
"TOMATO PRODUCTS,CND,PUREE,W/SALT",38.0,0.21,0.0,8.98,4.83,1.65,1
"TURNIPS,CKD,BLD,DRND,W/SALT",22.0,0.08,0.0,5.06,2.99,0.71,1
"TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",21.0,0.24,0.0,3.76,1.76,1.53,1
"TURNIP GRNS,CKD,BLD,DRND,W/SALT",20.0,0.23,0.0,4.36,0.53,1.14,1
"TURNIP GRNS,FRZ,CKD,BLD,DRND,W/SALT",29.0,0.42,0.0,4.98,0.75,3.35,1
"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",34.0,0.38,0.0,4.74,0.95,2.99,1
"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,W/SALT",60.0,0.15,0.0,13.09,3.12,2.86,1
"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT",11.0,0.2,0.0,2.45,1.18,0.4,1
"WINGED BEAN,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",37.0,0.66,0.0,3.21,8.256540404040422,5.31,1
"YAM,CKD,BLD,DRND,OR BKD,W/SALT",114.0,0.14,0.0,26.99,0.49,1.49,1
"YAMBEAN (JICAMA),CKD,BLD,DRND,W/SALT",36.0,0.09,0.0,8.23,8.256540404040422,0.72,1
"YARDLONG BEAN,CKD,BLD,DRND,W/SALT",47.0,0.1,0.0,9.17,8.256540404040422,2.53,1
"CORN,SWEET,WHITE,RAW",86.0,1.18,0.0,19.02,3.22,3.22,1
"CORN,SWT,WHITE,CKD,BLD,DRND,WO/SALT",97.0,1.41,0.0,21.71,7.73,3.34,1
"CORN,SWT,WHITE,CKD,BLD,DRND,W/SALT",97.0,1.41,0.0,21.71,7.73,3.34,1
"CORN,SWT,WHITE,CND,WHL KERNEL,REG PK,SOL&LIQUIDS",64.0,0.5,0.0,15.41,8.256540404040422,1.95,1
"CORN,SWT,WHITE,CND,WHL KERNEL,NO SALT,SOL&LIQUIDS",64.0,0.5,0.0,15.41,8.256540404040422,1.95,1
"CORN,SWT,WHITE,CND,WHL KERNEL,DRND SOL",81.0,1.0,0.0,18.59,2.4,2.62,1
"CORN,SWT,WHITE,CND,CRM STYLE,REG PK",72.0,0.42,0.0,18.13,2.21,1.74,1
"CORN,SWT,WHITE,CND,CRM STYLE,NO SALT",72.0,0.42,0.0,18.13,2.21,1.74,1
"CORN,SWT,WHITE,CND,VACUUM PK,REG PK",79.0,0.5,0.0,19.44,8.256540404040422,2.41,1
"CORN,SWT,WHITE,CND,VACUUM PK,NO SALT",79.0,0.5,0.0,19.44,8.256540404040422,2.41,1
"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,UNPREP",88.0,0.77,0.0,20.81,8.256540404040422,3.02,1
"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,WO/SALT",80.0,0.43,0.0,19.56,3.12,2.75,1
"CORN,SWT,WHITE,FRZ,KRNLS CUT OFF COB,BLD,DRND,W/SALT",80.0,0.43,0.0,19.56,3.12,2.75,1
"CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP",98.0,0.78,0.0,23.5,8.256540404040422,3.28,1
"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,WO/SALT",94.0,0.74,0.0,22.33,8.256540404040422,3.11,1
"CORN,SWT,WHITE,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",94.0,0.74,0.0,22.33,8.256540404040422,3.11,1
"PEPPERS,SWT,RED,CND,SOL&LIQUIDS",18.0,0.3,0.0,3.9,8.256540404040422,0.8,1
"PEPPERS,SWT,RED,FRZ,CHOPD,UNPREP",20.0,0.21,0.0,4.45,3.26,1.08,1
"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,WO/ SALT",16.0,0.18,0.0,3.31,2.86,0.95,1
"PEPPERS,SWT,RED,FRZ,CHOPD,BLD,DRND,W/ SALT",16.0,0.18,0.0,3.31,2.86,0.95,1
"PEPPERS,SWT,RED,SAUTEED",133.0,12.75,0.0,6.57,4.28,1.04,1
"SESBANIA FLOWER,CKD,STMD,W/SALT",21.0,0.05,0.0,5.1,8.256540404040422,1.14,1
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD,W/SALT",81.0,4.45,0.0,6.53,0.43,8.47,1
"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED,W/SALT",125.0,7.1,0.0,9.4,8.256540404040422,13.1,1
"DOCK,CKD,BLD,DRND,W/SALT",20.0,0.64,0.0,2.93,8.256540404040422,1.83,1
"LENTILS,SPROUTED,CKD,STIR-FRIED,W/SALT",101.0,0.45,0.0,21.25,8.256540404040422,8.8,1
"MOUNTAIN YAM,HAWAII,CKD,STMD,W/ SALT",82.0,0.08,0.0,19.99,8.256540404040422,1.73,1
"TREE FERN,CKD,W/SALT",40.0,0.07,0.0,10.78,8.256540404040422,0.29,1
"POTATOES,MSHD,PREP FROM GRANULES,WO/MILK,WHL MILK&MARGARINE",108.0,4.93,3.0,14.4,8.256540404040422,2.05,1
"POTATOES,MSHD,PREP FROM FLAKES,WO/MILK,WHL MILK&MARGARINE",113.0,5.6,4.0,15.02,8.256540404040422,1.9,1
"PEPPERS,SWT,RED,FREEZE-DRIED",314.0,3.0,0.0,68.7,40.77,17.9,0
"BEANS,SNAP,YEL,CND,REG PK,DRND SOL",20.0,0.1,0.0,4.5,0.96,1.15,1
"BEANS,SNAP,YEL,CND,NO SALT,DRND SOL",20.0,0.1,0.0,4.5,0.96,1.15,1
"POTATOES,MSHD,HOME-PREPARED,WHL MILK & BUTTER ADDED",113.0,4.22,11.0,16.81,1.43,1.86,1
CATSUP,97.0,0.31,0.0,25.15,22.77,1.74,1
"PICKLES,CUCUMBER,DILL OR KOSHER DILL",12.0,0.14,0.0,2.59,1.31,0.6,1
"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,GRILLED",29.0,0.58,41.551994091580504,4.44,2.26,3.28,1
"PICKLES,CUCUMBER,SWT (INCLUDES BREAD & BUTTER PICKLES)",91.0,0.41,0.0,21.15,18.27,0.58,1
"PICKLES,CUCUMBER,SOUR",11.0,0.2,0.0,2.26,1.06,0.33,1
"PIMENTO,CANNED",23.0,0.3,0.0,5.1,2.71,1.1,1
"PICKLE RELISH,HOT DOG",91.0,0.46,0.0,23.35,8.256540404040422,1.5,1
"PICKLE RELISH,SWEET",130.0,0.47,0.0,35.06,29.13,0.37,1
"PICKLES,CUCUMBER,SOUR,LO NA",11.0,0.2,0.0,2.26,1.06,0.33,1
"PICKLES,CUCUMBER,DILL,LO NA",18.0,0.19,0.0,4.13,1.92,0.62,1
"PICKLES,CUCUMBER,SWT,LO NA (INCLUDES BREAD & BUTTER PICKLES)",122.0,0.26,0.0,33.73,26.68,0.37,1
"CATSUP,LOW SODIUM",97.0,0.31,0.0,25.15,22.77,1.74,1
"MUSHROOMS,ENOKI,RAW",37.0,0.29,0.0,7.81,0.22,2.66,1
"PEPPERS,SWEET,YELLOW,RAW",27.0,0.21,0.0,6.32,8.256540404040422,1.0,1
"RADICCHIO,RAW",23.0,0.25,0.0,4.48,0.6,1.43,1
"TOMATILLOS,RAW",32.0,1.02,0.0,5.84,3.93,0.96,1
"TOMATOES,SUN-DRIED",258.0,2.97,0.0,55.76,37.59,14.11,0
"TOMATOES,SUN-DRIED,PACKED IN OIL,DRND",213.0,14.08,0.0,23.33,8.256540404040422,5.06,1
"FENNEL,BULB,RAW",31.0,0.2,0.0,7.29,8.256540404040422,1.24,1
"PICKLE RELISH,HAMBURGER",129.0,0.54,0.0,34.48,8.256540404040422,0.63,1
"ARUGULA,RAW",25.0,0.66,0.0,3.65,2.05,2.58,1
"CARROTS,BABY,RAW",35.0,0.13,0.0,8.24,4.76,0.64,1
"HEARTS OF PALM,CANNED",28.0,0.62,0.0,4.62,8.256540404040422,2.52,1
"PEPPERS,HOT CHILE,SUN-DRIED",324.0,5.81,0.0,69.86,41.06,10.58,0
"NOPALES,RAW",16.0,0.09,0.0,3.33,1.15,1.32,1
"NOPALES,CKD,WO/SALT",15.0,0.05,0.0,3.28,1.12,1.35,1
"CAULIFLOWER,GREEN,RAW",31.0,0.3,0.0,6.09,3.03,2.95,1
"CAULIFLOWER,GRN,CKD,NO SALT ADDED",32.0,0.31,0.0,6.28,8.256540404040422,3.04,1
"CAULIFLOWER,GRN,CKD,W/ SALT",32.0,0.31,0.0,6.28,8.256540404040422,3.04,1
"BROCCOLI,CHINESE,COOKED",22.0,0.72,0.0,3.81,0.84,1.14,1
"CABBAGE,NAPA,COOKED",12.0,0.17,0.0,2.23,8.256540404040422,1.1,1
"LEMON GRASS (CITRONELLA),RAW",99.0,0.49,0.0,25.31,8.256540404040422,1.82,1
"BEANS,FAVA,IN POD,RAW",88.0,0.73,0.0,17.63,8.256540404040422,7.92,1
"GRAPE LEAVES,RAW",93.0,2.12,0.0,17.31,6.3,5.6,1
"GRAPE LEAVES,CND",69.0,1.97,0.0,11.71,8.256540404040422,4.27,1
"PEPPER,BANANA,RAW",27.0,0.45,0.0,5.35,1.95,1.66,1
"PEPPERS,SERRANO,RAW",32.0,0.44,0.0,6.7,3.83,1.74,1
"PEPPERS,ANCHO,DRIED",281.0,8.2,0.0,51.42,8.256540404040422,11.86,0
"PEPPERS,JALAPENO,RAW",29.0,0.37,0.0,6.5,4.12,0.91,1
"PEPPERS,CHILI,GRN,CND",21.0,0.27,0.0,4.6,8.256540404040422,0.72,1
"PEPPERS,HUNGARIAN,RAW",29.0,0.41,0.0,6.7,3.53,0.8,1
"PEPPERS,PASILLA,DRIED",345.0,15.85,0.0,51.13,8.256540404040422,12.35,0
"PICKLES,CHOWCHOW,W/CAULIFLOWER ONION MUSTARD,SWT",121.0,0.9,0.0,26.64,23.88,1.5,1
"EPAZOTE,RAW",32.0,0.52,0.0,7.44,8.256540404040422,0.33,1
"FIREWEED,LEAVES,RAW",103.0,2.75,0.0,19.22,8.256540404040422,4.71,1
"MALABAR SPINACH,COOKED",23.0,0.78,0.0,2.71,8.256540404040422,2.98,1
"MUSHROOMS,OYSTER,RAW",33.0,0.41,0.0,6.09,1.11,3.31,1
"FUNGI,CLOUD EARS,DRIED",284.0,0.73,0.0,73.01,8.256540404040422,9.25,0
"MUSHROOMS,STRAW,CND,DRND SOL",32.0,0.68,0.0,4.64,8.256540404040422,3.83,1
"WASABI,ROOT,RAW",109.0,0.63,0.0,23.54,8.256540404040422,4.8,1
"YAUTIA (TANNIER),RAW",98.0,0.4,0.0,23.63,8.256540404040422,1.46,1
"MUSHROOMS,WHITE,MICROWAVED",35.0,0.46,0.0,6.04,0.0,3.91,1
"MUSHROOMS,MAITAKE,RAW",31.0,0.19,0.0,6.97,2.07,1.94,1
"FIDDLEHEAD FERNS,RAW",34.0,0.4,0.0,5.54,8.256540404040422,4.55,1
"FIDDLEHEAD FERNS,FRZ,UNPREP",34.0,0.35,0.0,5.74,8.256540404040422,4.31,1
"MUSHROOMS,PORTABELLA,EXPOSED TO UV LT,RAW",22.0,0.35,0.0,3.87,2.5,2.11,1
"BREADFRUIT SEEDS,RAW",191.0,5.59,0.0,29.24,8.256540404040422,7.4,1
"BREADFRUIT SEEDS,BOILED",168.0,2.3,0.0,32.0,8.256540404040422,5.3,1
"SEEDS,BREADNUT TREE SEEDS,RAW",217.0,0.99,0.0,46.28,8.256540404040422,5.97,1
"SEEDS,BREADNUT TREE SEEDS,DRIED",367.0,1.68,0.0,79.39,8.256540404040422,8.62,0
"CHIA SEEDS,DRIED",486.0,30.74,0.0,42.12,8.256540404040422,16.54,0
"COTTONSEED FLR,PART DEFATTED (GLANDLESS)",359.0,6.2,0.0,40.54,8.256540404040422,40.96,1
"COTTONSEED FLR,LOFAT (GLANDLESS)",332.0,1.41,0.0,36.1,8.256540404040422,49.83,1
"COTTONSEED MEAL,PART DEFATTED (GLANDLESS)",367.0,4.77,0.0,38.43,8.256540404040422,49.1,1
"LOTUS SEEDS,DRIED",332.0,1.97,0.0,64.47,8.256540404040422,15.41,0
"PUMPKIN&SQUASH SD KRNLS,DRIED",559.0,49.05,0.0,10.71,1.4,30.23,0
"PUMPKIN&SQUASH SD KRNLS,RSTD,WO/SALT",574.0,49.05,0.0,14.71,1.29,29.84,0
"SAFFLOWER SD KRNLS,DRIED",517.0,38.45,0.0,34.29,8.256540404040422,16.18,0
"SAFFLOWER SD MEAL,PART DEFATTED",342.0,2.39,0.0,48.73,8.256540404040422,35.62,1
"SESAME SEEDS,WHOLE,DRIED",573.0,49.67,0.0,23.45,0.3,17.73,0
"SESAME SEEDS,WHL,RSTD&TSTD",565.0,48.0,0.0,25.74,8.256540404040422,16.96,0
"SESAME SD KRNLS,TSTD,WO/SALT (DECORT)",567.0,48.0,0.0,26.04,0.48,16.96,0
"SESAME FLR,PART DEFATTED",382.0,11.89,0.0,35.14,8.256540404040422,40.32,1
"SESAME FLOUR,LOW-FAT",333.0,1.75,0.0,35.51,8.256540404040422,50.14,1
"SESAME MEAL,PART DEFATTED",567.0,48.0,0.0,26.04,8.256540404040422,16.96,0
"SUNFLOWER SD KRNLS,DRIED",584.0,51.46,0.0,20.0,2.62,20.78,0
"SUNFLOWER SD KRNLS,DRY RSTD,WO/SALT",582.0,49.8,0.0,24.07,2.73,19.33,0
"SUNFLOWER SD KRNLS,OIL RSTD,WO/SALT",592.0,51.3,0.0,22.89,3.11,20.06,0
"SUNFLOWER SD KRNLS,TSTD,WO/SALT",619.0,56.8,0.0,20.59,8.256540404040422,17.21,0
"SUNFLOWER SD BUTTER,WO/SALT",617.0,55.2,0.0,23.32,10.54,17.28,0
"SUNFLOWER SD FLR,PART DEFATTED",326.0,1.61,0.0,35.83,8.256540404040422,48.06,1
"ACORNS,RAW",387.0,23.86,0.0,40.75,8.256540404040422,6.15,0
"ACORNS,DRIED",509.0,31.41,0.0,53.66,8.256540404040422,8.1,0
"ACORN FLOUR,FULL FAT",501.0,30.17,0.0,54.65,8.256540404040422,7.49,0
ALMONDS,575.0,49.42,0.0,21.67,3.89,21.22,0
"ALMONDS,BLANCHED",590.0,52.52,0.0,18.67,4.63,21.4,0
"ALMONDS,DRY RSTD,WO/SALT",595.0,52.05,0.0,21.2,4.93,21.06,0
"ALMONDS,OIL RSTD,WO/SALT",607.0,55.17,0.0,17.68,4.55,21.23,0
ALMOND PASTE,458.0,27.74,0.0,47.81,36.25,9.0,0
